downloads_percent,downloads_total,interval
0.00108,2221,2021-05-17
0.0013,2689,2021-05-18
0.00056,1148,2021-05-19
0.00066,1364,2021-05-20
0.0004,816,2021-05-21
0.00061,1259,2021-05-22
0.00022,445,2021-05-23
0.00177,3652,2021-05-24
0.00047,979,2021-05-25
0.00041,849,2021-05-26
0.00014,290,2021-05-27
0.00029,603,2021-05-28
0.00012,242,2021-05-29
0.00019,385,2021-05-30
0.00076,1574,2021-05-31
0.00059,1219,2021-06-01
0.00043,879,2021-06-02
0.00026,542,2021-06-03
0.00039,795,2021-06-04
0.00018,377,2021-06-05
0.00034,691,2021-06-06
0.00116,2398,2021-06-07
0.00057,1170,2021-06-08
0.00031,647,2021-06-09
0.00029,596,2021-06-10
0.00028,585,2021-06-11
0.00012,242,2021-06-12
0.00012,247,2021-06-13
0.00021,426,2021-06-14
0.00053,1087,2021-06-15
0.0002,415,2021-06-16
0.00016,332,2021-06-17
0.00011,222,2021-06-18
0.00018,380,2021-06-19
0.00013,273,2021-06-20
0.00075,1542,2021-06-21
0.00054,1104,2021-06-22
0.00018,379,2021-06-23
0.00025,521,2021-06-24
0.00013,262,2021-06-25
0.0002,409,2021-06-26
0.00013,265,2021-06-27
0.00074,1535,2021-06-28
0.0003,623,2021-06-29
0.00052,1064,2021-06-30
0.00011,233,2021-07-01
0.00009,180,2021-07-02
0.00014,288,2021-07-03
0.00011,235,2021-07-04
0.0006,1241,2021-07-05
0.00039,806,2021-07-06
0.00017,360,2021-07-07
0.00103,2121,2021-07-08
0.00028,584,2021-07-09
0.00015,315,2021-07-10
0.0002,408,2021-07-11
0.00022,460,2021-07-12
0.00013,265,2021-07-13
0.00015,301,2021-07-14
0.00009,188,2021-07-15
0.00009,195,2021-07-16
0.00006,128,2021-07-17
0.00007,135,2021-07-18
0.00101,2082,2021-07-19
0.0003,615,2021-07-20
0.00018,381,2021-07-21
0.00062,1275,2021-07-22
0.00044,909,2021-07-23
0.00022,451,2021-07-24
0.00011,223,2021-07-25
0.00063,1299,2021-07-26
0.00035,718,2021-07-27
0.00022,451,2021-07-28
0.00051,1056,2021-07-29
0.00027,547,2021-07-30
0.00017,341,2021-07-31
0.00013,267,2021-08-01
0.0001,206,2021-08-02
0.00012,257,2021-08-03
0.00039,814,2021-08-04
0.00101,2074,2021-08-05
0.00023,477,2021-08-06
0.00051,1055,2021-08-07
0.00018,366,2021-08-08
0.0007,1446,2021-08-09
0.00059,1211,2021-08-10
0.00027,554,2021-08-11
0.00066,1363,2021-08-12
0.00036,751,2021-08-13
0.00017,346,2021-08-14
0.00019,383,2021-08-15
0.00063,1301,2021-08-16
0.00039,795,2021-08-17
0.00025,511,2021-08-18
0.00047,967,2021-08-19
0.00056,1160,2021-08-20
0.00021,440,2021-08-21
0.00022,458,2021-08-22
0.00091,1885,2021-08-23
0.00038,792,2021-08-24
0.00022,452,2021-08-25
0.00082,1695,2021-08-26
0.00028,581,2021-08-27
0.00021,441,2021-08-28
0.00019,399,2021-08-29
0.00059,1224,2021-08-30
0.00044,917,2021-08-31
0.00022,461,2021-09-01
0.00089,1832,2021-09-02
0.00037,755,2021-09-03
0.00026,535,2021-09-04
0.00025,517,2021-09-05
0.00089,1839,2021-09-06
0.00056,1147,2021-09-07
0.00043,880,2021-09-08
0.00095,1965,2021-09-09
0.00079,1623,2021-09-10
0.00022,462,2021-09-11
0.00045,929,2021-09-12
0.00067,1375,2021-09-13
0.00045,926,2021-09-14
0.00027,547,2021-09-15
0.00078,1607,2021-09-16
