Date,Content,Video title,Video publish time,Views
2022-10-18,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-19,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-20,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-21,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",3
2022-10-22,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-23,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",9
2022-10-24,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-25,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",2
2022-10-26,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-27,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-28,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-29,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-30,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-31,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-01,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-11-02,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",2
2022-11-03,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-11-04,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-05,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-06,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-07,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-08,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-11-09,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-10,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-11,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-12,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-13,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-14,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-15,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-11-16,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-11-17,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-18,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-19,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-20,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-21,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-22,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-11-23,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-24,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-25,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-26,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-11-27,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-11-28,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-29,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-11-30,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-12-01,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-12-02,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-12-03,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-12-04,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
